Sampling point	Site	Site_point	Richness	Shannon	x	y	Maturity Index [MEAN]	Plant Parasitic Index [MEAN]	Enrichment Index [MEAN]	Structure Index [MEAN]	Total number, ind [MEAN]	Herbivores, % of total	Fungivores, % of total	Fungivores, % of free-living	Bacterivores, % of total	Bacterivores, % of free-living	Predators, % of total	Predators, % of free-living	Omnivores, % of total	Omnivores, % of free-living	Sedentary parasites, % of herbivores	Migratory endoparasites, % of herbivores	Semi-endoparasites, % of herbivores	Ectoparasites, % of herbivores	Epidermal/root hair feeders, % of herbivores	Algal/lichen/moss feeders, % of herbivores	CP 1, % of free-living	CP 2, % of free-living	CP 3, % of free-living	CP 4, % of free-living	CP 5, % of free-living	PP 2, % of herbivores	PP 3, % of herbivores	PP 4, % of herbivores	PP 5, % of herbivores	Rich_bact	Rich_fung	Rich_herb	Rich_omn	Rich_pred	Div_bact	Div_fung	Div_herb	Div_omn	Div_pred
COM30-60	COM	COM3060	18	1.963003983	71.876	56.626	2.51	2.12	46.43	62.09	10.36	8	60	65.2	21	22.8	8	8.7	3	3.3	0	0	0	12.5	87.5	0	0	65.2	18.5	16.3	0	87.5	12.5	0	0	9	3	2	1	3	2.058461062	0.259784094	0.37677016	0	0.900256051
COM40-20	COM	COM4020	24	2.81753293	32.943	39.87	2.44	2.89	64.46	71.71	29.92	9	38	41.8	30	33	2	2.2	21	23.1	0	0	0	66.7	33.3	0	13.2	47.3	22	17.6	0	33.3	55.6	0	11.1	11	3	4	4	2	2.217734004	10.04019617	1.214889654	1.207723982	0.693147181
COM40-30	COM	COM4030	26	2.877108217	42.565	42.624	3.19	2.94	48.48	88.63	7.12	48	15	28.8	19	36.5	3	5.8	15	28.8	0	0	58.3	39.6	2.1	0	3.8	32.7	19.2	28.8	15.4	6.2	93.8	0	0	8	3	7	5	3	1.98696677	0.113579949	1.613136343	1.337860677	1.098612289
COM40-40	COM	COM4040	24	2.418858761	52.173	42.82	2.72	2.24	45.78	73.45	16.78	17	50	60.2	24	28.9	0	0	9	10.8	0	11.8	0	35.3	52.9	0	0	54.2	20.5	24.1	1.2	76.5	23.5	0	0	12	3	5	4	0	2.383540372	1.447079851	1.262243167	1.149059696	0
COM40-50	COM	COM4050	24	2.532526249	62.02	43.904	2.61	2.56	42.37	69.3	12.44	41	30	50.8	23	39	0	0	6	10.2	0	56.1	0	17.1	26.8	0	1.7	57.6	18.6	22	0	43.9	56.1	0	0	13	3	5	3	0	2.401224483	0.918924845	1.177395671	1.011404265	0
COM40-60	COM	COM4060	24	2.568544203	72.715	43.163	2.65	2.65	40.32	71.48	11.64	34	29	43.9	30	45.5	2	3	5	7.6	0	5.9	0	91.2	2.9	0	3	56.1	15.2	24.2	1.5	35.3	64.7	0	0	11	3	5	3	2	1.985231411	0.763786032	1.064375732	0.95027054	0.693147181
COM50-20	COM	COM5020	26	2.335213852	34.344	31.273	2.94	3	46.05	80.36	6.75	14	53	61.6	20	23.3	3	3.5	10	11.6	0	0	0	85.7	14.3	0	2.3	47.7	5.8	41.9	2.3	14.3	78.6	0	7.1	12	3	5	4	2	2.274474726	0.993292213	0.99435369	1.366158848	0.636514167
COM50-30	COM	COM5030	24	2.70471351	44.995	32.029	2.74	3	55	79.07	7.14	18	39	47.6	29	35.4	5	6.1	9	11	0	16.7	16.7	44.4	22.2	0	6.1	43.9	19.5	30.5	0	22.2	66.7	0	11.1	10	2	6	3	3	2.144591668	0.293938351	1.647918433	0.936888308	0.95027054
COM50-40	COM	COM5040	26	2.768756183	52.805	33.406	2.75	2.84	41.94	77	21.77	25	29	38.7	37	49.3	0	0	9	12	0	0	0	84	16	0	2.7	48	22.7	25.3	1.3	16	84	0	0	14	3	5	4	0	2.459095695	0.572410214	1.184953357	1.214889654	0
COM50-50	COM	COM5050	22	2.44670435	65.485	34.134	2.52	2.95	56.52	71.22	24.27	20	40	50	27	33.7	5	6.2	8	10	0	90	0	10	0	0	5	50	33.7	10	1.2	5	95	0	0	9	3	3	3	4	2.011819903	1.657998226	0.394397691	0.900256051	1.33217904
