Sampling point	Site	Site_point	Richness	Shannon	x	y	Maturity Index [MEAN]	Plant Parasitic Index [MEAN]	Enrichment Index [MEAN]	Structure Index [MEAN]	Total number, ind [MEAN]	Herbivores, % of total	Fungivores, % of total	Fungivores, % of free-living	Bacterivores, % of total	Bacterivores, % of free-living	Predators, % of total	Predators, % of free-living	Omnivores, % of total	Omnivores, % of free-living	Sedentary parasites, % of herbivores	Migratory endoparasites, % of herbivores	Semi-endoparasites, % of herbivores	Ectoparasites, % of herbivores	Epidermal/root hair feeders, % of herbivores	Algal/lichen/moss feeders, % of herbivores	CP 1, % of free-living	CP 2, % of free-living	CP 3, % of free-living	CP 4, % of free-living	CP 5, % of free-living	PP 2, % of herbivores	PP 3, % of herbivores	PP 4, % of herbivores	PP 5, % of herbivores	Rich_bact	Rich_fung	Rich_herb	Rich_omn	Rich_pred	Div_bact	Div_fung	Div_herb	Div_omn	Div_pred
PIC30-30	PIC	PIC3030	23	2.360778616	48.849	47.379	2.5	2.75	44.12	62.5	12.82	12	47	53.4	27	30.7	0	0	14	15.9	0	8.3	0	91.7	0	0	0	64.8	26.1	3.4	5.7	25	75	0	0	11	5	4	3	0	2.062571432	0.692240821	0.983087759	0.876005766	0
PIC30-40	PIC	PIC3040	21	1.792165248	58.634	46.499	2.22	2.6	43.97	34.44	10.91	10	63	70	20	22.2	4	4.4	3	3.3	0	0	40	60	0	0	0	87.8	4.4	5.6	2.2	40	60	0	0	7	4	5	2	3	1.609437911	0.353918685	1.418483661	0.636514168	1.03972077
PIC40-0	PIC	PIC400	23	2.290118202	18.522	38.942	2.31	2.7	48.42	51.49	15.07	30	39	55.7	20	28.6	2	2.9	9	12.9	0	0	0	83.3	6.7	10	2.9	70	21.4	4.3	1.4	30	70	0	0	8	3	6	4	2	1.903686688	0.969649273	1.138110262	1.149059696	0.693147181
PIC40-10	PIC	PIC4010	27	2.546066368	28.283	38.84	2.54	2.41	42.86	60.63	6.72	39	35	57.4	14	23	2	3.3	10	16.4	0	0	0	92.3	7.7	0	0	72.1	6.6	16.4	4.9	59	41	0	0	9	4	6	6	2	2.044931175	0.207306603	1.318960136	1.695742534	0.693147181
PIC40-20	PIC	PIC4020	21	1.839256928	37.823	37.433	2.16	2.41	48.12	32.19	16.48	17	57	68.7	21	25.3	1	1.2	4	4.8	0	0	5.9	94.1	0	0	2.4	83.1	12	1.2	1.2	58.8	41.2	0	0	9	3	6	2	1	1.979562445	0.164846662	1.497686407	0.562335145	0
PIC40-30	PIC	PIC4030			48.373	37.095																																							
PIC40-40	PIC	PIC4040	25	2.133059901	57.393	35.672	2.41	2.89	46.55	56.64	17.94	9	56	61.5	27	29.7	2	2.2	6	6.6	0	0	11.1	77.8	11.1	0	1.1	68.1	20.9	8.8	1.1	11.1	88.9	0	0	11	3	6	3	2	2.19143391	0.318197508	1.676987774	0.867563228	0.693147181
PIC50-0	PIC	PIC500	20	1.841984618	16.738	28.878	2.41	2.93	46.67	54.67	39.7	44	38	67.9	11	19.6	1	1.8	6	10.7	0	0	90.9	6.8	2.3	0	0	71.4	16.1	12.5	0	6.8	93.2	0	0	7	4	6	2	1	1.83437197	1.142065731	0.74580752	0.636514168	0
PIC50-10	PIC	PIC5010	22	2.287563285	27.386	29.584	2.24	2.62	42.17	38.06	19.55	42	35	60.3	17	29.3	3	5.2	3	5.2	0	33.3	14.3	47.6	4.8	0	0	82.8	10.3	6.9	0	47.6	47.6	0	4.8	8	3	6	3	2	1.956187468	0.226938852	1.330280441	1.098612289	0.636514168
PIC50-20	PIC	PIC5020	18	2.038028601	37.06	28.05	2.44	2.91	53.03	64.57	46.87	46	27	50	23	42.6	0	0	4	7.4	0	0	0	100	0	0	3.7	57.4	31.5	5.6	1.9	8.7	91.3	0	0	10	2	3	3	0	1.951592427	1.371211685	0.769838175	1.039720771	0
PIC50-30	PIC	PIC5030	24	2.764838858	47.185	28.869	2.64	2.6	38.16	74.07	9.47	5	29	30.5	55	57.9	5	5.3	6	6.3	0	0	20	80	0	0	2.1	49.5	32.6	13.7	2.1	40	60	0	0	11	3	4	3	3	2.193537385	0.596728792	1.332179039	1.011404264	0.950270538
PIC50--40	PIC	PIC5040	24	2.530559302	57.693	25.54	2.96	2.72	49.38	80.31	11.82	18	42	51.2	18	22	8	9.8	14	17.1	0	5.6	27.8	61.1	5.6	0	2.4	50	11	22	14.6	38.9	55.6	0	5.6	7	3	8	3	3	1.798105503	0.562257173	1.769036162	0.509137344	0.900256051
PIC60-00	PIC	PIC600	25	2.212410953	17.481	21.36	2.42	2.4	44.64	56.64	16.92	10	51	56.7	28	31.1	0	0	11	12.2	0	0	30	10	20	40	0	68.9	21.1	8.9	1.1	60	40	0	0	13	5	4	3	0	2.292087348	0.441471837	1.279854226	0.859967281	0
PIC60-10	PIC	PIC6010	25	2.485646764	26.015	18.753	2.31	3.35	39.62	46.67	31.47	17	43	51.8	33	39.8	2	2.4	5	6	0	17.6	11.8	70.6	0	0	0	77.1	16.9	3.6	2.4	35.3	29.4	0	35.3	10	6	5	2	2	2.025213747	1.449797045	1.4053485	0.673011667	0.693147181
PIC60-20	PIC	PIC6020	24	2.066117185	35.788	18.262	2.5	2.82	47.42	61.87	13.11	22	49	62.8	19	24.4	0	0	10	12.8	0	0	0	90.9	9.1	0	0	65.4	21.8	10.3	2.6	54.5	27.3	0	18.2	11	3	6	4	0	2.054059614	0.697211391	1.451462659	1.168282449	0
PIC60-30	PIC	PIC6030	25	2.452372972	47.018	16.904	2.55	2.13	40.82	65.37	7.04	8	41	44.6	37	40.2	2	2.2	12	13	0	0	0	37.5	62.5	0	1.1	63	19.6	12	4.3	87.5	12.5	0	0	11	5	4	3	2	2.225784274	0.546424051	1.320888344	1.077556327	0.693147181
PIC60-40	PIC	PIC6040	21	2.249388625	56.559	15.496	2.39	2.93	42.86	52.18	11.45	30	40	57.1	20	28.6	3	4.3	7	10	36.7	10	36.7	13.3	3.3	0	0	74.3	14.3	10	1.4	6.7	93.3	0	0	6	3	7	3	2	1.47170373	0	1.486669808	0.796311641	0.636514169
